#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-48.7829814 ; 12.6128158  ; 8.0000000   ; 2.0427295   ; -0.0025314
-48.8738413 ; 12.7909422  ; 8.0000000   ; 2.0422360   ; -0.0024046
-48.9646138 ; 12.9691088  ; 8.0000000   ; 2.0417678   ; -0.0022778
-49.0553065 ; 13.1473194  ; 8.0000000   ; 2.0413250   ; -0.0021511
-49.1459220 ; 13.3255680  ; 8.0000000   ; 2.0409076   ; -0.0020245
-49.2364644 ; 13.5038516  ; 8.0000000   ; 2.0405154   ; -0.0018979
-49.3269411 ; 13.6821731  ; 8.0000000   ; 2.0401486   ; -0.0017714
-49.4173527 ; 13.8605229  ; 8.0000000   ; 2.0398070   ; -0.0016449
-49.5077070 ; 14.0389054  ; 8.0000000   ; 2.0394907   ; -0.0015186
-49.5980067 ; 14.2173142  ; 8.0000000   ; 2.0391997   ; -0.0013923
-49.6882558 ; 14.3957463  ; 8.0000000   ; 2.0389339   ; -0.0012660
-49.7784616 ; 14.5742051  ; 8.0000000   ; 2.0386934   ; -0.0011399
-49.8686248 ; 14.7526805  ; 8.0000000   ; 2.0384781   ; -0.0010137
-49.9587533 ; 14.9311772  ; 8.0000000   ; 2.0382880   ; -0.0008877
